Index,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
0,Presented in thousands of EUR,Note,2021,2020
1,,,,
2,Income for the year,,"43,897","14,215"
3,,,,
4,Other comprehensive income (expense):,,,
5,Items that will not be reclassified subsequently to profit or loss:,,,
6,Actuarial (losses) gains on defined benefit scheme,24,"2,310","(2,036)"
7,Gains (losses) on equity investments financial assets,24,"6,047","(3,577)"
8,,,,
9,Items that are or may be reclassified subsequently to profit or loss:,,,
10,Gains (losses) on investment securities financial assets,24,"(9,747)","4,697"
11,Gains (losses) on cash flow hedges,24,(493),-
12,Other comprehensive (expense) income,,"(1,883)",(916)
13,Total comprehensive income,,"42,014","13,299"
