Index,Unnamed: 0,Aaa –,A1 –,Baa1 –,Unnamed: 1,Unnamed: 2
0,Presented in EUR (000),Aa3,A3,Ba3,Unrated,Total
1,,,,,,
2,Analysis by Moody’s rating,,,,,
3,,,,,,
4,Cash and bank balances,"34,328",-,-,-,"34,328"
5,Deposits in margin accounts,"26,240",-,-,-,"26,240"
6,Debt investment securities,"93,950","353,346","240,665",-,"687,961"
7,Derivatives financial instruments,,-,-,"26,701","26,701"
8,Equity investments,-,-,-,"26,310","26,310"
9,Accrued interest receivable,-,-,-,"23,512","23,512"
10,Other assets,-,-,-,"9,490","9,490"
11,At 31 December,"154,518","353,346","240,665","86,013","834,542"
12,,,,,,
13,Of which issued by,,,,,
14,,,,,,
15,Corporates/governments,"93,950","353,346","240,665","26,310","714,271"
16,Cash deposits at banks,"60,568",-,-,-,"60,568"
17,Other,-,-,-,"59,703","59,703"
18,At 31 December,"154,518","353,346","240,665","86,013","834,542"
19,,,,,,
20,Of which classified as,,,,,
21,,,,,,
22,Fair value through profit or loss,-,-,-,"27,492","27,492"
23,Fair value through other comprehensive income,"93,950","353,346","240,665","25,519","713,480"
24,Amortized cost,"60,568",-,-,"33,002","9  3  , 5  7  0"
25,At 31 December,"154,518","353,346","240,665","86,013","834,542"
