Index,•,"Identify and assess the risks of material misstatement of the financial statements, whether due to"
0,,"fraud or error, design and perform audit procedures responsive to those risks, and obtain audit"
1,,evidence that is sufficient and appropriate to provide a basis for our opinion.  The risk of not
2,,"detecting a material misstatement resulting from fraud is higher than for one resulting from error,"
3,,"as fraud may involve collusion, forgery, intentional omissions, misrepresentations, or the override"
4,,of internal control.
5,,
6,•,Obtain an understanding of internal control relevant to the audit in order to design audit procedures
7,,"that are appropriate in the circumstances, but not for the purpose of expressing an opinion on the"
8,,effectiveness of the Bank's internal control.
9,,
10,•,Evaluate the appropriateness of accounting policies used and the reasonableness of accounting
11,,estimates and related disclosures made by Management.
12,,
13,•,Conclude on the appropriateness of Management’s use of the going concern basis of accounting
14,,"and, based on the audit evidence obtained, whether a material uncertainty exists related to events"
15,,or conditions that may cast significant doubt on the Bank’s ability to continue as a going concern.
16,,"If we conclude that a material uncertainty exists, we are required to draw attention in our auditor’s"
17,,"report to the related disclosures in the financial statements or, if such disclosures are inadequate,"
18,,to modify our opinion.  Our conclusions are based on the audit evidence obtained up to the date
19,,"of our auditor’s report.  However, future events or conditions may cause the Bank to cease to"
20,,continue as a going concern.
21,,
22,•,"Evaluate the overall presentation, structure and content of the financial statements, including the"
